changes,instances,complexity,basic changes,project count,clusterid,pattern id
RESERVED:CONDITION:INSERTED:falsey:1,5,2,1,2,0,5
"RESERVED:ARGUMENT:REMOVED:this:1
RESERVED:ASSIGNMENT_RHS:REMOVED:true:1",2,5,2,1,14,0
"RESERVED:CONDITION:INSERTED:falsey:1
RESERVED:CONDITION:UPDATED:falsey:1",2,1,2,1,13,138
RESERVED:ASSIGNMENT_LHS:INSERTED:this:1,2,1,1,1,12,18
"RESERVED:CONDITION:INSERTED:falsey:1
RESERVED:STATEMENT:INSERTED:var:1
RESERVED:STATEMENT:UPDATED:new:1
RESERVED:STATEMENT:UPDATED:var:1",2,2,4,1,11,0
"RESERVED:CONDITION:INSERTED:falsey:1
RESERVED:STATEMENT:UPDATED:var:1",2,3,2,1,10,14
"METHOD:METHOD_CALL:INSERTED:call:2
RESERVED:CONDITION:INSERTED:falsey:1
RESERVED:CONDITION:INSERTED:sheq:1
RESERVED:CONDITION:REMOVED:this:1
RESERVED:CONDITION:REMOVED:typeof:1
RESERVED:STATEMENT:INSERTED:var:1
RESERVED:STATEMENT:UPDATED:new:1
RESERVED:STATEMENT:UPDATED:return:1",2,6,8,1,9,0
RESERVED:CONDITION:INSERTED:sheq:1,2,2,1,1,8,2
"RESERVED:ARGUMENT:INSERTED:this:2
RESERVED:ASSIGNMENT_LHS:INSERTED:this:1
RESERVED:STATEMENT:UPDATED:var:1",2,4,3,1,7,0
"RESERVED:ASSIGNMENT_LHS:INSERTED:callback:1
RESERVED:ASSIGNMENT_RHS:INSERTED:false:1
RESERVED:ASSIGNMENT_RHS:INSERTED:true:1
RESERVED:STATEMENT:INSERTED:var:1",2,4,4,1,6,0
"RESERVED:ASSIGNMENT_RHS:INSERTED:true:1
RESERVED:STATEMENT:UPDATED:var:1",2,1,2,1,5,116
"METHOD:METHOD_CALL:INSERTED:replace:2
RESERVED:CONDITION:INSERTED:falsey:1
RESERVED:STATEMENT:UPDATED:return:1",2,1,3,1,4,0
"CLASS:METHOD_CALL:INSERTED:Array:1
METHOD:METHOD_CALL:INSERTED:pop:1
RESERVED:CONDITION:INSERTED:falsey:1
RESERVED:STATEMENT:INSERTED:var:1",2,6,4,1,3,0
"RESERVED:ARGUMENT:INSERTED:error:1
RESERVED:ARGUMENT:REMOVED:error:1
RESERVED:METHOD_CALL:INSERTED:catch:1
RESERVED:STATEMENT:UPDATED:return:3",2,5,4,1,2,0
"RESERVED:ARGUMENT:INSERTED:this:1
RESERVED:ARGUMENT:REMOVED:this:1
RESERVED:CONDITION:UPDATED:falsey:1
RESERVED:STATEMENT:INSERTED:new:1
RESERVED:STATEMENT:INSERTED:var:1
RESERVED:STATEMENT:UPDATED:var:1",2,3,6,1,1,0
